Change,Country,Location,Name,NameWoDiacritics,Subdivision,Status,Function,Date,IATA,Coordinates,Remarks
,AM,ASH,Ashtarak,Ashtarak,ER,RL,--3-----,1101,,4018N 04421E,
,AM,BRD,Berd,Berd,,RL,-----6--,1107,,4052N 04523E,
,AM,BYU,Byureghavan,Byureghavan,KT,RL,--3-----,1101,,4018N 04435E,
,AM,DIL,Dilijan,Dilijan,,RL,-----6--,1201,,4044N 04452E,
,AM,EZN,Ecmiadzin,Ecmiadzin,,RL,--3-----,0207,,4009N 04417E,
,AM,GRS,Goris,Goris,,RL,-----6--,1107,,3930N 04620E,
,AM,LWN,Gyumri,Gyumri,,AI,---4----,0212,,4048N 04350E,
,AM,JER,Jermuk,Jermuk,VD,RL,1----6--,1007,,,
,AM,KJN,Kajaran,Kajaran,,RL,-23-----,1307,,3909N 04609E,
,AM,KPN,Kapan,Kapan,SU,RL,--3-----,1501,,3912N 04624E,
,AM,ARM,Masis,Masis,AR,RL,-23--6--,0901,,4001N 04429E,
,AM,RN4,Rind,Rind,VD,RL,--3-----,1501,,3945N 04510E,
,AM,SPI,Spitak,Spitak,LO,RL,--3-----,1101,,4050N 04416E,
,AM,VZR,Vanadzor,Vanadzor,,RL,--3-----,0207,,4048N 04428E,
,AM,VED,Vedi,Vedi,AR,RL,--3-----,1601,,3954N 04443E,
,AM,EVN,Yerevan,Yerevan,ER,AI,-2345---,0907,,4011N 04431E,
,AO,AZZ,Ambriz,Ambriz,,AI,1--4----,9601,,,
,AO,ANL,Andulo,Andulo,,AI,---4----,9912,,,
+,AO,ARO,Armada Olombendo FPSO,Armada Olombendo FPSO,ZAI,RL,------7-,1801,,0604S 01121E,
,AO,BAB,Baba,Baba,,RQ,1-------,0901,,1450S 01214E,
,AO,BDT,Baía dos Tigres,Baia dos Tigres,,RL,1-------,0212,,1636S 01144E,
,AO,BDD,Barra do Dande,Barra do Dande,,RL,1-------,0103,,,
,AO,BEL,Belas,Belas,LUA,RL,--3-----,1707,,0855S 01310E,
,AO,BUG,Benguela,Benguela,,AI,1--4----,9601,,,
,AO,CAB,Cabinda,Cabinda,,AI,1--4----,9601,,,
,AO,CFF,Cafunfo,Cafunfo,,AI,---4----,9912,,,
,AO,CNZ,Cangamba,Cangamba,,AI,---4----,9912,,,
,AO,KNP,Capanda,Capanda,,AI,---4----,9912,,,
,AO,CPO,Capulo,Capulo,,RQ,1-------,0901,,0759S 01310E,
,AO,CBT,Catumbela,Catumbela,,AI,---4----,9912,,,
,AO,CAV,Cazombo,Cazombo,,AI,---4----,9601,,,
,AO,PGI,Chitato,Chitato,,AI,---4----,9912,,,
,AO,CLV,CLOV FPSO,CLOV FPSO,,RL,------7-,1407,,0727S 01134E,
,AO,CUI,Cuio,Cuio,,RQ,1-------,0901,,1259S 01259E,
,AO,CTI,Cuito Cuanavale,Cuito Cuanavale,,AI,---4----,9912,,,
,AO,DAL,Dalia,Dalia,,RQ,1-------,0307,,0741S 01147E,
,AO,DRC,Dirico,Dirico,,AI,---4----,9912,,,
,AO,DGR,Dombe Grande,Dombe Grande,,RL,1-------,0103,,,
,AO,DUE,Dundo,Dundo,,AI,---4----,9912,,,
,AO,ETN,Essungo Terminal,Essungo Terminal,,RQ,1-------,0901,,0620S 01210E,
,AO,FBY,Farta Bay,Farta Bay,,RQ,1-------,0901,,1237S 01312E,
,AO,FLT,Futila Terminal,Futila Terminal,,RQ,1-------,0901,,0527S 01211E,
,AO,GIM,Gimboa,Gimboa,,RL,1-------,1107,,0732S 01210E,
,AO,GIR,Girassol Terminal,Girassol Terminal,,RL,1-------,0901,,0738S 01141E,
,AO,GPO,Greater Plutonio,Greater Plutonio,,RL,1-------,1601,,0750S 01207E,
,AO,NOV,Huambo,Huambo,,AI,---4----,9912,,,
,AO,JMB,Jamba,Jamba,,AI,---4----,9601,,,
,AO,KTI,Kiame Terminal,Kiame Terminal,,RQ,1-------,0901,,,
,AO,SVP,Kuito,Kuito,,AI,---4----,9912,,,
,AO,KOT,Kuito Terminal,Kuito Terminal,,RQ,1-------,0901,,0526S 01129E,
